delivery_start_utc,delivery_start_local,local_hour_occurrence,price_area,forecast_5_hour_offshore_wind_mwh_per_hour,forecast_1_hour_offshore_wind_mwh_per_hour,forecast_5_hour_onshore_wind_mwh_per_hour,forecast_1_hour_onshore_wind_mwh_per_hour,forecast_5_hour_solar_mwh_per_hour,forecast_1_hour_solar_mwh_per_hour,revision_offshore_wind_mwh,revision_onshore_wind_mwh,revision_solar_mwh,wind_revision_mwh,wind_forecast_5h_mwh,wind_revision_normalized,wind_revision_quintile,wind_revision_decile,wind_revision_available,solar_both_horizons_positive
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+01:00,1,DK1,868.666687,985.375,789.5,712.291687,0.0,0.00125,116.70831299999998,-77.20831299999998,0.00125,39.5,1658.166687,0.023821489304832476,3,6,True,False
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+01:00,1,DK1,927.333313,959.833313,810.708313,796.541687,0.0,0.0,32.5,-14.166625999999951,0.0,18.33337400000005,1738.041626,0.010548293968190639,3,6,True,False
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+01:00,1,DK1,797.208313,838.625,724.166687,840.333313,0.0,0.0,41.416687000000024,116.16662599999995,0.0,157.58331299999998,1521.375,0.10357953364555088,4,8,True,False
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+01:00,1,DK1,619.416687,637.208313,605.666687,795.958313,0.0,0.0,17.79162599999995,190.29162599999995,0.0,208.0832519999999,1225.083374,0.1698523189655171,5,9,True,False
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+01:00,1,DK1,220.833328,161.833328,298.375,171.375,20.303749,21.547501,-59.0,-127.0,1.2437520000000006,-186.0,519.2083279999999,-0.35823770530891796,1,1,True,True
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+01:00,1,DK1,323.5,364.666656,361.875,221.666672,38.87875,51.036251,41.16665599999999,-140.208328,12.157501000000003,-99.041672,685.375,-0.14450727266095204,2,3,True,True
2022-01-04 00:00:00+00:00,2022-01-04 01:00:00+01:00,1,DK1,300.083344,389.541656,765.666687,,0.0,0.0,89.45831199999998,,0.0,,1065.750031,,,,False,False
2022-01-15 20:00:00+00:00,2022-01-15 21:00:00+01:00,1,DK1,677.791687,641.708313,987.666687,1024.666626,0.117917,0.0,-36.08337400000005,36.99993899999993,-0.117917,0.9165649999998777,1665.458374,0.000550337981608346,3,5,True,False
2024-06-30 20:00:00+00:00,2024-06-30 22:00:00+02:00,1,DK1,375.958344,238.083328,455.916656,412.083344,1.4375,0.007083,-137.87501600000002,-43.83331199999998,-1.430417,-181.708328,831.875,-0.21843225003756572,1,1,True,True
2024-06-30 21:00:00+00:00,2024-06-30 23:00:00+02:00,1,DK1,366.75,239.208328,454.208344,386.25,0.022083,0.004167,-127.541672,-67.95834400000001,-0.017915999999999998,-195.50001600000002,820.958344,-0.2381363408129268,1,1,True,True
